Codigo,Medicamento,Accion Terapeutica,Laboratorio
M0000008323,DORMEX,Antiinflamatorio, Analgésico,NOVAMED
M0000008324,DORMICUM,Iniciador del sueño,ROCHE
M0000008325,DORMICUM INYECTABLE,Benzodiazepina de corta acción para la medicación preanestésica y la sedación, así como la inducción y el mantenimiento de la anestesia,ROCHE
M0000008326,DORMIPRON,Hipnótico inductor de uso en anestesia,CHALVER
M0000008327,DORPRETIM,Antiglaucomatoso,BLASKOV
M0000008328,DORZODEL GOTAS OFTALMICAS,Antihipertensivo ocular,DELTA
M0000008329,DORZODEL PLUS,Antihipertensivo ocular,DELTA
M0000008330,DORZOLAM,Tratamiento de la presión intraocular elevada,MK VISION
M0000008331,DORZOLAMIDA + TIMOLOL SOL OFT LA SANTE,Antihipertensivo ocular,LA SANTE
M0000008332,DORZOLOL,Tratamiento de la presión intraocular elevada,MK VISION
M0000008333,DORZOPT,Antiglaucomatoso,PROCAPS
M0000008334,DORZOVISION,Tratamiento de la presión ocular elevada,VITALIS
M0000008335,DORZOVISION T,Tratamiento de la presión ocular elevada,VITALIS
M0000008336,DOSTEIN,DOSTEIN®está indicado en cualquier padecimiento respiratorio que requiera de aumento en la fluidez del moco, esputo y de mejoría en la ventilación pulmonar,CARNOT
M0000008337,DOSTINEX,Inhibidor de la prolactina,PFIZER
M0000008338,DOTROPINA (DOBUTAMINA) PISA,Control de los equilibrios hemodinámicos asociados a los cuadros de shock u otros estados de insuficiencia cardíaca,PISA
M0000008339,DOVIR,Ibuprofeno combinaciones,LEGRAND
M0000008340,DOXCEF,Cefalosporina de tercera generación (oral),LEGRAND
M0000008341,DOXICICLINA,Antibiótico de amplio espectro,GENFAR
M0000008342,DOXICICLINA LA SANTE,Antibiótico de amplio espectro,LA SANTE
M0000008343,DOXICICLINA MK,Antibiótico sistémico,MK
M0000008344,DOXORUBICINA,Antibiótico citotóxico,BLAU
M0000008345,DOXPEN,Analgésico Compuesto,COASPHARMA
M0000008346,DRAMEBA,Amebicida, Giardicida, Tricomonicida, Antiparasitario medicamento esencial,RANDE
M0000008347,DRAMEZOL,Amebicida, Giardicida, Antiséptico intestinal,RANDE
M0000008348,DRAMEZOL 250,Antiparasitario contra las afecciones a nivel intestinal, Amebicida, Giardicida,RANDE
M0000008349,DRANICOL,Antiviral específico para el tratamiento de infecciones causadas por el Herpes Virus Simplex, impidiendo la replicación viral, disminuyendo la extensión y duración de la enfermedad,GRUPO UNIPHARM
M0000008350,DRILYNA,Antihistamínico, antialérgico,BAGO
M0000008351,DROPYAL,Antiartrósico,TECNOFARMA
M0000008352,DS EMULSION,Pieles propensas a las irritaciones, rojeces y descamaciones de las zonas seborreicas, Costra láctea del lactante,MEDIVELIUS
M0000008353,DS GEL LIMPIADOR,Pieles propensas a las irritaciones, rojeces y descamaciones en las zonas seborreicas, Rostro, cuerpo y cuero cabelludo,MEDIVELIUS
M0000008354,DS LOCION,Picor e irritaciones relacionadas con estados descamativos del cuero cabelludo, Cuero Cabelludo Adultos,MEDIVELIUS
M0000008355,DULCOLAX,Laxante,BOEH.INGEL.
M0000008356,DUO DECADRON,Corticosteroide sistémico de doble acción: inmediata y prolongada,TECNOQUIMICAS
M0000008357,DUO-BETAMETASONA MK,Corticosteroide sistémico de acción inmediata y prolongada,MK
M0000008358,DUO-PAS,Analgésico, antiespasmódico,CHALVER
M0000008359,DUODOL,Analgésico,ABBOTT
M0000008360,DUOLIP,Hipolipemiante,GARMISCH
M0000008361,DUOTRAV,Alternativo en el manejo del glaucoma,ALCON
M0000008362,DUOVAL H,Antihipertensivo,GARMISCH
M0000008363,DUOVIRAL,Combinación de Antirretrovirales para el tratamiento de la infección por VIH,LEGRAND
M0000008364,DUPHALAC,Laxante,ABBOTT
M0000008365,DUPHASTON,Progestagenoterapia,ABBOTT
M0000008366,DURACEF,Antibiótico bactericida de amplio espectro,MERCK S.A.
M0000008367,DURAFEX ESPALDA,Analgésico, Antipirético,TECNOQUIMICAS
M0000008368,DURAFEX MUSCULAR,Analgésico, antiinflamatorio no esteroideo,TECNOQUIMICAS
M0000008369,DURAFEX-F,Analgésico, antipirético,MK
M0000008370,DURAPROX,Antiinflamatorio, Analgésico,NOVAMED
M0000008371,DUROGESIC,Sistema transdérmico de fentanil,JANSSEN-CILAG
M0000008372,DUSPATALIN RETARD 200MG,Agente contra el padecimiento de transtornos funcionales del estómago y del intestino,ABBOTT
M0000008373,DUXETINA 30 Y 60 MG,Antidepresivo dual,BUSSIE
M0000008374,DYSPORT,Bloqueante de la trasmisión colinérgica periférica de las uniones neuromusculares,BIOPAS
M0000008375,EBIXA,Inhibidor No Competitivo del Receptor N-metil-D-Aspartato (NMDA),LUNDBECK
M0000008376,ECALTA,Antimicótico sistémico,PFIZER
M0000008377,ECARVIT JALEA MULTIVITAMINICO,Suplemento vitamínico,ECAR
M0000008378,ECHINACEA ANGUSTIFOLIA 3D,Aumenta las defensas,MINERALIN
M0000008379,ECLIPSOL,Protector solar gel para uso diario,BUSSIE
M0000008380,ECOSYS,Reconstituyente de la flora intestinal,PROCAPS
M0000008381,EDUXON,Antidepresivo,PROCAPS
M0000008382,EFAL - EFAL NIÑOS - EFAL LIQUIDO,Dermolimpiadores para la limpieza diaria de la piel,SIEGFRIED
M0000008383,EFAVIRENZ,Inhibidores de la Transcriptasa Reversa no Nucleósidos,LEGRAND
M0000008384,EFAVIRENZ HUMAX,Antiviral,HUMAX
M0000008385,EFEXOR XR,Antidepresivo,PFIZER
M0000008386,EFFIENT,Inhibidores de la agregación plaquetaria, excluyendo heparina, Código ATC: B01AC22,ELI LILLY
M0000008387,EFFORTIL,Vasopresor,BOEH.INGEL.
M0000008388,EGOGYN,Coadyuvante en el tratamiento de la intoxicación por fósforo,ABBOTT
M0000008389,EKRANOPLAN,Coadyuvante en el tratamiento de la obesidad,APOTECARIUM
M0000008390,ELAPRASE,Elaprase®está indicado para pacientes con Síndrome de Hunter (Mucopolisacaridosis II, MPA tipo II),SHIRE COLOMBIA
M0000008391,ELIDEL,Inhibidor de la calcineurina,NOVARTIS
M0000008392,ELIQUIS,Inhibidor del Factor Xa,PFIZER
M0000008393,ELIXIR DE HIERRO Y COMPLEJO B,Suplemento Multivitamínico,JGB
M0000008394,ELOCOM,Corticosteroide tópico dermatológico,MSD
M0000008395,ELONVA,Estimulante folicular de efecto prolongado,MSD
M0000008396,ELOXATIN,Antineoplásico,SANOFI AVENTIS
M0000008397,ELVITAL,Multivitamínico (vitaminas y minerales), Suplemento dietario,ESCOVAR
M0000008398,EMCLAREX,Despigmentador y antienvejecimiento cutáneo con filtros antisolares UVA y UVB,BUSSIE
M0000008399,EMEND,Antiemético,MSD
M0000008400,EMEND IV,Antiemético, Antinauseoso,MSD
M0000008401,EMERGYN,Anticoncepción oral de emergencia,ABBOTT
M0000008402,EMULBASE BIOAZUFRE,Antiseborreico, Protector dérmico,MEDIVELIUS
M0000008403,EMULSION DE SCOTT,Suplemento vitamínico,GLAXOSMITHKLINE
M0000008404,ENABLEX / EMSELEX,Antimuscarínico,NOVARTIS
M0000008405,ENALAPRIL,Antihipertensivo, Inhibidor de la ECA,GENFAR
M0000008406,ENALAPRIL,Antihipertensivo, Inhibidor de la ECA,BEST
M0000008407,ENALAPRIL LA SANTE,Antihipertensivo,LA SANTE
M0000008408,ENALAPRIL MALEATO,Antihipertensivo, Inhibidor de la ECA,GENFAR
M0000008409,ENALAPRIL MK,Inhibidor de la enzima convertidora de angiotensina,MK
M0000008410,ENBREL,Agente inmunopresor selectivo,PFIZER
M0000008411,ENCEFABOL,Activador del metabolismo neuronal,MERCK S.A.
M0000008412,ENDAMOX,Antibiótico,GRUINFACOL
M0000008413,ENDATAL (ETOMIDATO) PISA,Inductor de anestesia, para una anestesia de acción corta, Debe ser utilizado junto con un analgésico,PISA
M0000008414,ENDOCARE AMPOLLAS,Regenerador y reparador cutáneo,MEDIVELIUS
M0000008415,ENDOCARE CONTORNO DE OJOS Y LABIOS,Regenerador y reparador cutáneo,MEDIVELIUS
M0000008416,ENDOCARE DAY,Reparador cutáneo, Hidratante y protección solar FPS 30,MEDIVELIUS
M0000008417,ENDOCARE GELCREM BIOREPAR,Regenerador y reparador cutáneo,MEDIVELIUS
M0000008418,ENDOCARE TENSAGE,Fluido regenerador, antiarrugas y maquillaje de color beige, que en un solo producto brinda una acción tensora, antioxidante y anti edematosa, a la vez que aporta un efecto corrector-iluminador gracias a sus pigmentos coloreados,MEDIVELIUS
M0000008419,ENDOL SR,Analgésicos Opioides,LEGRAND
M0000008420,ENDOSHER,Nutracéutico cardiometabólico,ASHER PHARMA
M0000008421,ENERGITRUM,Suplemento Multivitamínico con Minerales,SERES
M0000008422,ENFAGROW PREMIUM,Niños en crecimiento,MEAD JOHNSON
M0000008423,ENFAMIL A.R. PREMIUM,Para lactantes de 0 a 12 meses de edad,MEAD JOHNSON
M0000008424,ENFAMIL PREMATUROS PREMIUM,Para bebés prematuros o de bajo peso al nacer,MEAD JOHNSON
M0000008425,ENFAMIL PREMIUM 1,Para lactantes de 0 a 6 meses de edad,MEAD JOHNSON
M0000008426,ENFAMIL PREMIUM 2,Para lactantes de 6 a 12 meses de edad,MEAD JOHNSON
M0000008427,ENFAMIL SIN LACTOSA PREMIUM,Para lactantes de 0 a 12 meses de edad,MEAD JOHNSON
M0000008428,ENFAMIL SOYA PREMIUM,Para lactantes de 0 a 12 meses de edad,MEAD JOHNSON
M0000008429,ENGERIX-B,Inmunoterapia hepatitis B,GLAXOSMITHKLINE
M0000008430,ENOXAPARINA SODICA-ENOXALOW,Anticoagulante,BLAU
M0000008431,ENSOY DIABETICOS,Alimento nutritivo,ABBOTT
M0000008432,ENSOY NIÑOS,Alimento nutritivo,ABBOTT
M0000008433,ENSOY PLUS,Alimento nutritivo,ABBOTT
M0000008434,ENSOY PROTEINA,Complemento alimenticio a base de proteína de soya y proteína de suero lácteo, Polvo homogéneo, limpio, sin olores extraños, Producto de sabor y olor neutro que puede ser adicionado a todo tipo de alimentos y bebidas,ABBOTT
M0000008435,ENSOY SABOR A VAINILLA,Alimento nutritivo a base de proteína de soya con vitaminas y minerales con sabor a vainilla,ABBOTT
M0000008436,ENTEREX DIABETIC,Suplemento nutricional,VICTUS
M0000008437,ENTEREX ESPESANTE,Suplemento nutricional,VICTUS
M0000008438,ENTEREX HEPATIC,Suplemento nutricional,VICTUS
M0000008439,ENTEREX POLVO,Suplemento nutricional,VICTUS
M0000008440,ENTEREX PROTEINEX,Suplemento nutricional,VICTUS
M0000008441,ENTEREX RENAL,Suplemento nutricional,VICTUS
M0000008442,ENTEROGERMINA,Reconstituyente de la flora intestinal,SANOFI AVENTIS
M0000008443,EPACOR,Acidos grasos poliinsaturados omega 3 de alta concentración,PROCAPS
M0000008444,EPAMIN,Anticonvulsivante,PFIZER
M0000008445,EPAX,Tratamiento coadyuvante de las hipertrigliceridemias,PROCAPS
M0000008446,EPAX EC,Tratamiento coadyuvante de las hipertrigliceridemias,PROCAPS
M0000008447,EPICORT,Antimicótico cutáneo, Fungicida,BEST
M0000008448,EPIRUBICINA,Antineoplásico,BLAU
M0000008449,EPRITIL,Antimicrobiano,GRUINFACOL
M0000008450,EPTAVIS,Coadyuvante en el manejo de las alteraciones de la flora intestinal,TECNOQUIMICAS
M0000008451,EQUILID,Neuroléptico,SANOFI AVENTIS
M0000008452,ERASSIN,Tratamiento de la disfunción eréctil,LABINCO
M0000008453,ERBITUX,Antineoplásico,MERCK S.A.
M0000008454,ERGOTOP,Vasodilatador periférico,LABINCO
M0000008455,ERILIN,Tratamiento oral de la disfunción eréctil,TECNOQUIMICAS
M0000008456,ERISUL,Antibiótico,NOVAMED
M0000008457,ERITROMICINA,Antibiótico, Bactericida,GENFAR
M0000008458,ERITROMICINA ES MK,Antibiótico macrólido,MK
M0000008459,ERITROMICINA MK,Antibiótico macrólido,MK
M0000008460,ERITROPOYETINA - ERITROMAX,Antianémico,BLAU
M0000008461,ERITROPOYETINA HUMANA RECOMBINANTE,Antianémico,DELTA
M0000008462,ERLINIZ,Antidepresivo,SANOFI AVENTIS
M0000008463,EROKON N.F,Complemento nutricional,CARIBE
M0000008464,EROXIM,Tratamiento de la disfunción eréctil,ABBOTT
M0000008465,EROXIM-FAST INSTANTAB,Tratamiento de la disfunción eréctil,ABBOTT
M0000008466,ERYFOTONA AK-NMSC FLUID,Protector solar,ISDIN
M0000008467,ESCITALOPRAM,Antidepresivo,GENFAR
M0000008468,ESCITALOPRAM MK,Antidepresivo, Inhibidor de la recaptación de Serotonina,MK
M0000008469,ESMERON,Bloqueante neuromuscular,MSD
M0000008470,ESODEX 20MG-40MG,Antiulceroso, inhibidor de la bomba de protones,ADEXA PHARMA
M0000008471,ESOMED,Inhibidor de bomba de protones,NOVAMED
M0000008472,ESOMEPRAZOL,Antiulceroso,GENFAR
M0000008473,ESOMEPRAZOL LA SANTE,Antisecretor gástrico, Inhibidor de la bomba de protones,LA SANTE
M0000008474,ESOMEPRAZOL MK,Inhibidor de la bomba de protones,MK
M0000008475,ESOMEZOL,Antirreflujo esofágico,BEST
M0000008476,ESOPRAX,Inhibidores de la Bomba de Protones,LEGRAND
M0000008477,ESOTLEN 20 Y ESOTLEN 40,Antiulceroso,SIEGFRIED
M0000008478,ESOZ,Antisecretor gástrico, Inhibidor de la bomba de protones,GALENO QUIMICA
M0000008479,ESOZ PEDIATRICO,Antisecretor, Inhibidor de la bomba de protones gástrica,GALENO QUIMICA
M0000008480,ESOZOL 40,Antiulceroso, Manejo de úlcera péptica, Inhibidor de la bomba de protones,NEVOX FARMA
M0000008481,ESPAGEN COMPUESTO,Analgésico, Antiespasmódico,RANDE
M0000008482,ESPASMOBIL,Gotas, grageas, inyectable, Analgésico, antipirético, antiespasmódico,TAKEDA
M0000008483,ESPASMOKOV COMPUESTO,Analgésico, Antiespasmódico,BLASKOV
M0000008484,ESPASMOKOV SIMPLE,Antiespasmódico,BLASKOV
M0000008485,ESPECTINOMICINA MK,Antibiótico sistémico,MK
M0000008486,ESPIDIFEN,Analgésico, antipirético, antiinflamatorio no esteroide,ZAMBON
M0000008487,ESPIROLAN,Diurético,LABINCO
M0000008488,ESPIRONOLACTONA,Diurético,GENFAR
M0000008489,ESPIRONOLACTONA HUMAX,Diurético, Antihipertensivo, Antihipopotasémico,HUMAX
M0000008490,ESTATLEN,Hipolipemiante,SIEGFRIED
M0000008491,ESTEINE,Terapia de remplazo hormonal,ABBOTT
M0000008492,ESTERMAX,Estrogenoterapia,CHALVER
M0000008493,ESTRACYT,Tratamiento del cáncer de próstata,PFIZER
M0000008494,ESTRADERM MATRIX 25,Terapia de reemplazo hormonal,NOVARTIS
M0000008495,ESTREPTOQUINASA,Agente antitrombótico,SICMAFARMA
M0000008496,ESTREPTOQUINASA - STREPTONASE,Antitrombótico,BLAU
M0000008497,ESTROGEL,Terapéutica de la menopausia,BIOPAS
M0000008498,ETANAR,Inhibidor del factor de necrosis tumoral (TNF),ABBOTT
M0000008499,ETIDOXINA 100,Antibiótico,EUROETIKA
M0000008500,ETOPAN GI,Gastroprocinético,NOVAMED
M0000008501,ETOPOSIDO,Antineoplásico,BLAU
M0000008502,ETORICOXIB MK,Antiinflamatorios y antirreumáticos, no esteroideos, coxibs,MK
M0000008503,EUGERIAL,Vasodilatador cerebral,BAGO
M0000008504,EUGLUCON,Hipoglucemiante oral,ROCHE
M0000008505,EUMOTRIX / EUMOTRIX-PLUS,Regulador de la motilidad gastrointestinal,ABBOTT
M0000008506,EUROFER,Complejo de hierro polimaltosado para un crecimiento sano,EURODRUG
M0000008507,EUTEBROL,Tratamiento de la enfermedad de Alzheimer,TECNOFARMA
M0000008508,EUTIROX,Suplemento de hormona tiroidea,MERCK S.A.
M0000008509,EVISTA,Antiosteoporótico,ELI LILLY
M0000008510,EVRA,Anticonceptivo,JANSSEN-CILAG
M0000008511,EX 3 QUIN,Tranquilizante menor, Sedante,JULEPS
M0000008512,EXANIA,Corticosteroide de acción tópica,SIEGFRIED
M0000008513,EXELON,Inhibidor de la acetilcolinesterasa,NOVARTIS
M0000008514,EXELON PARCHES,Inhibidor de la acetilcolinesterasa,NOVARTIS
M0000008515,EXFORGE,Antihipertensivo,NOVARTIS
M0000008516,EXFORGE HCT,Antihipertensivo,NOVARTIS
M0000008517,EXJADE,Agente quelante,NOVARTIS
M0000008518,EXPAN,Antidepresivo,SIEGFRIED
M0000008519,EXPIREX,Antibiótico macrólido,LABINCO
M0000008520,EYLIA,Degeneración macular,BAYER
M0000008521,EYSEL,Antioxidante, Suplemento dietario,BAWISS
M0000008522,EZATOR,Hipolipemiante,ABBOTT
M0000008523,EZETIMIBA,Anticolesterolémico,GENFAR
M0000008524,EZETIMIBE/SIMVASTATINA MK,Hipolipemiante, inhibidor de la HMG CoA reductasa e inhibidor de la absorción de colesterol,MK
M0000008525,EZETROL,Anticolesterolémico,MSD
M0000008526,FACETIX,Antiandrogénico para el tratamiento de las manifestaciones andrógenas de la mujer,ABBOTT
M0000008527,FADROX,Antibiótico de amplio espectro,GALENO QUIMICA
M0000008528,FALAPREX,Antibiótico,GRUINFACOL
M0000008529,FALMONOX,Amebicida,SANOFI AVENTIS
M0000008530,FALOT (CEFALOTINA) PISA,La Cefalotina sódica está indicada para el tratamiento de infecciones causadas por bacterias sensibles a ésta,PISA
M0000008531,FARMALAX,Laxante,ECAR
M0000008532,FARMALAX P,Laxante,ECAR
M0000008533,FARMALIP,Hipolipemiante,COASPHARMA
M0000008534,FASIGYN,Amebicida, tricomonicida, giardicida,PFIZER
M0000008535,FASLODEX,Antineoplásico, Antiestrogénico,ASTRAZENECA
M0000008536,FASTFEN,Analgésico,SIEGFRIED
M0000008537,FAZOL COLAGENO SHAMPOO 1%,Antimicótico del cuero cabelludo,GRÜNENTHAL
M0000008538,FAZOL CREMA,Antimicótico de amplio espectro,GRÜNENTHAL
M0000008539,FAZOL SHAMPOO,Antimicótico del cuero cabelludo,GRÜNENTHAL
M0000008540,FELDENE,Antiinflamatorio,PFIZER
M0000008541,FELDENE GEL,Antiinflamatorio tópico,PFIZER
M0000008542,FEMARA,Antiestrógeno,NOVARTIS
M0000008543,FEMCLOT,Antimicótico, antibacteriano vaginal,COASPHARMA
M0000008544,FEMELIN,Anticonceptivo hormonal parenteral de aplicación mensual,ABBOTT
M0000008545,FEMELLE,Anticonceptivo oral,ABBOTT
M0000008546,FEMELLE 20,Anticonceptivo oral,ABBOTT
M0000008547,FEMELLE 20 CD,Anticonceptivo oral,ABBOTT
M0000008548,FEMELLE CD,Anticonceptivo oral,ABBOTT
M0000008549,FEMIANE,Anticonceptivo oral combinado,BHC - BAYER
M0000008550,FENACOF,Analgésico oftálmico, Antiinflamatorio no esteroide,BLASKOV
M0000008551,FENCAFEN,Tratamiento sintomático de la migraña,TECNOQUIMICAS
M0000008552,FENCALGINA,Analgésico, Antiespasmódico,TECNOQUIMICAS
M0000008553,FENITOINA SODICA,Anticonvulsivo, antiepiléptico, Antiarrítmico,CARLON
M0000008554,FENOBARBITAL,Antiepiléptico, Barbitúrico, Hipnótico,F N ESTUPEFAC.
M0000008555,FENODID (FENTANILO) PISA,Analgésico narcótico,PISA
M0000008556,FENOLIP,Normolipemiante,GARMISCH
M0000008557,FENTANILO,Analgésico narcótico,BLASKOV
M0000008558,FENTANILO CITRATO,Anestésico general,SICMAFARMA
M0000008559,FENYLDOL,Analgésico opioide,HUMAX
M0000008560,FERBIN CL Y JARABE,Antiepiléptico, modulador del afecto, antimigrañoso,NOVAMED
M0000008561,FERRIMED PLUS,Preparados antianémicos,NOVAMED
M0000008562,FERROIN 100MG/2ML (HIERRO DEXTRAN 100MG),Anemia ferropénica de moderada a severa en pacientes en que no puede administrarse el hierro por vía oral,PISA
M0000008563,FERROPROTINA,Antianémico,FAES FARMA
M0000008564,FERTIRING,Progestagenoterapia,GRÜNENTHAL
M0000008565,FERVIT SD,Suplemento vitamínico - mineral,ETYC
M0000008566,FEXOFENADINA LA SANTE,Antihistamínico,LA SANTE
M0000008567,FEXOFENADINA MK,Antihistamínico,MK
M0000008568,FHOSTRUM,Multivitamínico, Suplemento dietario,KEVIPHARMA
M0000008569,FIBRAL,Laxante,BEST
M0000008570,FIBRASHER,Fibras para el estreñimiento,ASHER PHARMA
M0000008571,FIBROFALK,Laxante,BIOTOSCANA
M0000008572,FIBROLIP,Hipolipemiante,GARMISCH
M0000008573,FIGEZTOMIL,Suplemento Dietario,NEVOX FARMA
M0000008574,FILUT,Antimicótico oral, Antimicótico tópico,NEVOX FARMA
M0000008575,FINACEA,Antiacneico,BAYER
M0000008576,FINACID SOLUCION CALENDULA,Antiinflamatorio,NATURAL FRESHLY
M0000008577,FINASPROS TABLETAS RECUBIERTAS 5 MG,Terapéutica prostática,MSD
M0000008578,FINASTERIDE MK,Inhibidor de la 5-alfa reductasa, Fármaco para la alopecia androgénica,MK
M0000008579,FINIGAX,Antiflatulento,ABBOTT
M0000008580,FINORINEX,Tratamiento de la Rinitis Alérgica, Vasomotora y Fiebre del heno,ABBOTT
M0000008581,FIRAZYR,Tratamiento del angioedema hereditario,SHIRE COLOMBIA
M0000008582,FIRST ALLERDEFENSE GEL PROTECTOR NASAL,Bloqueador de alergenos,ABBOTT
M0000008583,FISH OIL OMEGA 3 SUNDOWN,Suplemento dietario,SUNDOWN NAT.
M0000008584,FISIOGEN,Alivio de los síntomas de la menopausia,ZAMBON
M0000008585,FISIOMAX,Lubricante íntimo y humectante vaginal,ZAMBON
M0000008586,FISOPRED,Corticoterapia,SANOFI AVENTIS
M0000008587,FISTRIN,Manejo de la hiperplasia prostática benigna,INCOBRA
M0000008588,FITOFLAVONA,Regulador de los síntomas de la menopausia,EUROETIKA
M0000008589,FITOMENADIONA,Hemostático,SICMAFARMA
M0000008590,FITOSTIMOLINE,Cicatrizante,EUROETIKA
M0000008591,FITOTUX,Expectorante,EUROETIKA
M0000008592,FIXAMICIN,Antibiótico y antiinflamatorio ótico,TECNOQUIMICAS
M0000008593,FIXAMICIN DEXACIPRO,Antibiótico y antiinflamatorio ótico,TECNOQUIMICAS
M0000008594,FIXAMICIN HC,Antibiótico y antiinflamatorio ótico,TECNOQUIMICAS
M0000008595,FIXAMICIN NF,Antibiótico y analgésico, para uso ótico externo,TECNOQUIMICAS
M0000008596,FLAGYL INYECTABLE,Anaerobicida, Amebicida,SANOFI AVENTIS
M0000008597,FLAGYL NISTATINA,Antiinfeccioso vaginal,SANOFI AVENTIS
M0000008598,FLAMYDOL,Analgésico, antiinflamatorio y antipirético,GRUPO UNIPHARM
M0000008599,FLAVOXATO,Anticolinérgico, Antiespasmódico,GENFAR
M0000008600,FLAZCORT,Corticoide tópico,ABBOTT
M0000008601,FLECTADOL,Relajante muscular de acción central, Analgésico, Antiinflamatorio,NOVAMED
M0000008602,FLEXARTRIT,Harpagophytum Procumbens, 500mg, Fitoterapéutico,NATURAL FRESHLY
M0000008603,FLEXOL,Antiinflamatorio, Analgésico, Antirreumático,GRUPO UNIPHARM
M0000008604,FLEXPRO,Oligoelemento,ASHER PHARMA
M0000008605,FLEXTRIL,Otros productos musculoesqueléticos,NOVAMED
M0000008606,FLEXTRIL C MSM,Otros productos musculoesqueléticos,NOVAMED
M0000008607,FLEXTRIL-C,Otros productos musculoesqueléticos,NOVAMED
M0000008608,FLEXURE,Tratamiento de la osteoartritis,PROCAPS
M0000008609,FLEXURE MSM,Coadyuvante en el manejo de la osteoartritis,PROCAPS
M0000008610,FLIXOTIDE INHALADOR,Antiasmático,GLAXOSMITHKLINE
M0000008611,FLONAR,Antiinflamatorio, Antirreumático,APOTECARIUM
M0000008612,FLONORM,Antibiótico gastrointestinal,ZAMBON
M0000008613,FLORATIL,Antidiarreico,MERCK S.A.
M0000008614,FLOTAC,Analgésico, Antiinflamatorio, Antirreumático,NOVARTIS
M0000008615,FLOXANOVA,Antimicótico,GRUPO UNIPHARM
M0000008616,FLUAMAR,Inhalador HFA,BIOTOSCANA
M0000008617,FLUARIX,Inmunización antigripal,GLAXOSMITHKLINE
M0000008618,FLUBENDAZOL,Antihelmíntico de amplio espectro,GENFAR
M0000008619,FLUCIFEM,Tratatamiento del síndrome de flujo vaginal,ABBOTT
M0000008620,FLUCISTEIN,Mucolítico, Tratamiento de la EPOC,ABBOTT
M0000008621,FLUCONAZOL,Antimicótico de amplio espectro,GENFAR
M0000008622,FLUCONAZOL,Antifúngico,BLASKOV
M0000008623,FLUCONAZOL LA SANTE,Antimicótico,LA SANTE
M0000008624,FLUCONAZOL MK,Antimicótico sistémico, Derivado triazoico,MK
M0000008625,FLUDARABINA 50 MG,Antineoplásico,BLAU
M0000008626,FLUENZ T,Tratamiento sintomático del resfriado común,TECNOQUIMICAS
M0000008627,FLUIDBASE K,Crema antiojeras,MEDIVELIUS
M0000008628,FLUIDBASE LOCION,Preventivo del fotoenvejecimiento, Protector cutáneo,MEDIVELIUS
M0000008629,FLUIDBASE MAX,Gel antiedad,MEDIVELIUS
M0000008630,FLUIDBASE RETINOL,Crema antiedad,MEDIVELIUS
M0000008631,FLUIFORT,Modulador de la mucogénesis,EURODRUG
M0000008632,FLUIMUCIL,Mucolítico,ZAMBON
M0000008633,FLUIMUCIL AMPOLLAS,Mucolítico,ZAMBON
M0000008634,FLUIMUCIL AQUA,Limpieza y/o higiene de las fosas nasales,ZAMBON
M0000008635,FLUMAZENIL,Antagonista de los receptores benzodiazepínicos,SICMAFARMA
M0000008636,FLUMEX,Antiinflamatorio esteroide oftálmico,ALLERGAN
M0000008637,FLUMEX NEO,Antiinflamatorio esteroide oftálmico, antiinfeccioso,ALLERGAN
M0000008638,FLUMIXOL,Mucolítico,NOVAMED
M0000008639,FLUNARIZINA,Antimigrañoso, Vasodilatador periférico,GENFAR
M0000008640,FLUNARIZINA MK,Preparados contra el vértigo,MK
M0000008641,FLUNIK,Vasodilatador periférico,INCOBRA
M0000008642,FLUOFTAL,Antiinflamatorio oftálmico,BLASKOV
M0000008643,FLUOXETINA,Antidepresivo,GENFAR
M0000008644,FLUOXETINA LA SANTE,Antidepresivo,LA SANTE
M0000008645,FLUOXETINA MK,Antidepresivo, Inhibidor selectivo de la recaptación de serotonina,MK
M0000008646,FLUROX,Antibiótico, Fluroquinolona,TECNOQUIMICAS
M0000008647,FLUTOX,Supresor de la tos,ZAMBON
M0000008648,FLUXAL INHALADOR,Antiinflamatorio respiratorio, Broncodilatador,PROCAPS
M0000008649,FLUZINA,Vasodilatador periférico,BUSSIE
M0000008650,FLY OUT,Repelente de insectos,SIEGFRIED
M0000008651,FOLICAL,Atenúa la toxicidad y contrarresta la acción de los antagonistas del ácido folínico,GARMISCH
M0000008652,FOLISTER,Alopecia androgenética,PROCAPS
M0000008653,FOLISTER COMPLEX HAIR LOTION,Coadyuvante en el tratamiento de la alopecia,PROCAPS
M0000008654,FOLISTER HAIR LOTION,Coadyuvante en el tratamiento de la alopecia,PROCAPS
M0000008655,FORADIL AEROLIZER,Broncodilatador,NOVARTIS
M0000008656,FORMITEX (CICLOFOSFAMIDA) PISA,Manejo de algunas leucemias agudas como leucemia mielógena, leucemia monocítica aguda, en leucemias crónicas como leucemia granulocítica crónica y en leucemia linfocítica crónica,PISA
M0000008657,FORMYXAN (MITOXANTRONA) PISA,Coadyuvante en el tratamiento de cáncer de seno,PISA
M0000008658,FORTEO,Antiosteoporótico,ELI LILLY
M0000008659,FORTIN Z CHILDREN,Suplemento dietario,LICOL
M0000008660,FORTOVASE,Inhibidor de la proteinasa del VIH,ROCHE
M0000008661,FORTZINK,Coady, en trat, diarrea aguda y persistente, Tratamiento de la deficiencia de zinc,PROCAPS
M0000008662,FORXIGA,Hipoglucemiante oral,ASTRAZENECA
M0000008663,FOSAMAX,Antiosteoporótico,MSD
