codigo_medicamento,nombre_medicamento,grupo_medicamento
AW20014,Pañal Huggies Active Sec Etapa 4/XG Paquete x 50  Unidades (12 a 15 Kilos) (FS),AW2
AW30071,Silicare Pelicula Protectora De Manos Emulsio Potex60g (FP),AW3
AW30072,Emolin Neo Emulsión Pote x 240 mL (FS),AW3
AW30083,Umbrella Plus 50+ Emulsion Spray Frasco x 120 mL (FP),AW3
AW30086,Jabon Dove Barra x 90g Cremoso Blanco l(FP),AW3
AW30087,Sunaid Children Espuma SPF 45 Pote x 90 mL (FS),AW3
AW30091,Eucerin PH5 Syndet Gel Pote x 250 mL (FP),AW3
AW30099,Efal Syndet + Calendula Limpiador Liquido Frasco x 270 g (FP),AW3
AW30005,Dilusor De Esmalte Fcox60ml Masglo (FP),AW3
AS50226,Codo PVC Presion de 1/2 ,AS5
AS60033,Abasto de 1/2  Grival Ref- 967690001,AS6
AN10002,Archivador de Carton Tipo Acordeon Oficio,AN1
AN10040,Contact Transparente x 1 m,AN1
AW30047,Cilka Dermatologica Tratamiento Para Cejas y Pestañas Caja x 8g (FP),AW3
AW30058,Darksun Pantalla Y Filtro Solar Frasco x 120mL (FS),AW3
AW30060,Eucerin Aceite De Ducha 2% Loción Frasco x 200mL (FP),AW3
AW30069,Umbrella Gel SPF 50+ Pantalla Solar Tubox60g (FP),AW3
AN10042,Cosedora Bates Modelo 550C,AN1
AW30077,Sunaid Gel Pantalla Solar x 100g (FS),AW3
AW30081,Labial Eucerin Protector x 4.8g(FP),AW3
AW30082,Acuanova Locion Hidratante Frasco x 220 mL (Drog),AW3
AW40014,Crema Numero 4 Original Capa Ligera Lata x 20g (FS),AW4
AW40017,Vaselina Johnson Baby Pote x 100g (FP),AW4
AW40018,Lubriderm Concentrada Uv-15 Pote x 400 mL (FP),AW4
AN10044,Cuaderno Argollado Grande de Rayas x 80 Hojas,AN1
AN10047,Caja de Cuchillas para bisturí grande,AN1
AW40025,Crema Yodora Clasica Tubo x 12g (FS),AW4
AW40028,Lubriderm Humectacion Diaria (Piel Normal A Seca) Pote x 400mL (FS),AW4
AW40029,Sunaid Polvo Compacto Claro Estuche x 12g (FS),AW4
AS70012,Caja Pvc de 4 x 4,AS7
AN10018,Calculadora Generica,AN1
AO50136,Cuerda Fijadora de Boligrafos Negra,AO5
AW40030,Sunaid Polvo Compacto Oscuro Estuche x 12g (FS),AW4
AW40031,Sunaid Polvo Compacto Traslucido Estuche x 12g (FP),AW4
AW40032,Crema Ponds Rejuveness Potex50g (FS),AW4
AW40042,Crema Liquida J&J Baby Original Pote x 200ml (fs),AW4
AW40043,Crema Liquida J&J Avena Potex200mL (FS),AW4
AW40044,Crema Liquida J&J Avena Potex100mL (FS),AW4
AW40050,Crema Liquida J&J Antes De Dormir Lavanda Pote x 200mL (FS),AW4
AW40054,Chapstick Fresa Protector Labial (FS),AW4
AW40057,Lubriderm Humectacion Diaria (Piel Normal A Seca) Potex120ml (FP),AW4
N020060,Migragesin 80 mg/mL Solucion oral Frasco gotero x 10 mL (Sumatriptan) (FP),N02
AW40065,Manteca De Cacao Athos Labial Tubo x 10g (FS),AW4
AN10004,Caja De Bandas De Caucho # 22,AN1
AW60302,Talco Mexsana Pote x 85g azul (FS),AW6
AW60305,Cepillo Dental Pro  TikTok Kit x 2 unidades MEDIO (FP),AW6
AW60306,Crema Dental Niños Fitokids Tubox75g Sabor a Chicle (FS),AW6
D070003,Desonida C 0.1%/3% Crema Tubo x 15 g (desonida/Clioquinol)(FP),D07
AW60193,Locion Maria Salome Frasco x 320mL (FS),AW6
AW60232,Acar klean Spray Pote x 400mL (FP),AW6
A070006,Lomotil 2.5 mg/0.025 mg Caja x 4 Tableta (Difenoxilato/Atropina )(Drog),A07
A110047,Tricovit 400 mg Tirilla x 15 Tableta (Coe Q10/Gluta/Met/Ac pantoténico/Mineral) (FP),A11
D060027,Virex 5% Unguento Tubo x 15 g (Aciclovir)  (FP),D06
D060031,Colloplus(180.95 mg/45.23mg)/mLSolucion topica Frasco x10mL(Ac. salicillico/Ac. lactico  (Drog),D06
D060036,Cicalfate + (Plus) 1%/0.2%/0.1%/4% Crema Tubo x 40 mL (Sucralf/Cobre sulf/Zn sulfato/Ox zinc) (Drog),D06
R010026,Rhifisol 0.65% Solucion nasal Frasco x 30 mL (Cloruro de sodio ) (Drog),R01
R010029,Afrisal Humectante 0.65% Spray nasal Frasco x 30 mL (Cloruro de sodio )  (Drog),R01
R020007,Noraver Menta 1.4% Solucion Oral Frasco x 120 mL (Fenol)( Drog ),R02
AW40130,Avene 50+ Ultra-Mat Fluido (sin Color) Potex50mL (FS),AW4
AW40136,Lubriderm Humectacion Diaria (Piel Normal A Seca) Potex750mL (FS),AW4
AW50001,Today lubricado paquete x 3 (FS),AW5
AW50002,Today punto G Paquete x 3 (FS),AW5
AW50004,Today Lubricante y Espermicida Paquete x 3 (FS),AW5
AW50006,Today Mutual Sensation Paquete x 3 (FS),AW5
AW50007,Today long action Paquete x 3 (FS),AW5
AW50008,Today Ultraestimulante Paquete x 3 (FS),AW5
R050040,Muxol Niños (15 mg/2 mg)/5 mL Jarabe Frasco x 120 mL (Ambroxol/Salbutamol) (FP),R05
C070031,Betoprolol 50 mg Tableta (Metoprolol TARTRATO) (FP) [RG],C07
C070032,Betoprolol 100 mg Tableta (Metoprolol TARTRATO) (FP) [RG],C07
A110031,B-Vit 50 mg/25 mg/5 mg/50 mg Tirilla x 10 CApsula (Vitamina B1/B2/B6/B12)  (Drog),A11
A160012,Bio-ladiet Caja x 150 Tabletas  ( Stevia ) (FP),A16
AW60197,Crema Ultra Corega Tubo x 40g Sabor a Menta (FS),AW6
AW60198,Sensodyne Blanqueadora Extrafresh Tbox50g ( Drog ),AW6
AW60200,Seda Dental Johnson Essencial Cajax100 Metros (FS),AW6
BA70018,Saf-Gel  Tubox85g  Ref-145730 (FS),BA7
B030016,Anemidox 33.30 mg/mL Suspension Oral Gotas Frasco x 30 mL (Hierro bisglicina quelato)(FP),B03
A030007,Metoclopramida 4 mg/1 mL Solucion Oral Frasco gotero x 30 mL Coaspharma (FP),A03
AW20002,Pañal Tena Slip Clasico (Basic) Talla M Paquete x 9 (FS),AW2
A030042,Espasmosiligas (66 mg/10 mg)/mL Solucion oral Frasco x 30 mL (Dimetilpolisiloxano/Papaverina)(FP),A03
R050030,Noraver Tos Adulto 8 mg/5 mL Suspension oral Frasco x 120 mL (Bromhexina clorhidrato)(FP),R05
R050032,Noraver Niños 4 mg/5 mL Jarabe Frasco x 120 mL (Bromhexina clorhidrato)(FP),R05
AW60256,Jabon Palmolive Barra x 130g (FS),AW6
R050049,Mucosina 50 mg/mL Suspension oral Frasco x 120 mL (Carboximetilcisteina)  (FP),R05
R050050,Mucosina 50 mg/mL Solución oral Frasco gotero x 30 mL (Carboximetilcisteina)  (FP),R05
V060102,Purity 03580 USP Bolsa x 1 Kilo Polvo Para Reconstituir (Almidon De Maiz) (FP),V06
P030002,Hygienex 0.2% Champu Sobre x 12mL (Cipermetrina) (FS),P03
N020011,Dolofen 500 mg Tirilla x 4 Tableta (Acetaminofen) (FP),N02
A060022,Citromel (9.67 g/1.71 g)/100 mL Sln oral Frasco x 310 mL (Tartrato de sodio/Acido tart)  (FP),A06
AW60317,Desodorante Dove  Original Barra Women Potex50g (FS),AW6
AW60257,Jabon Johnson Adulto Humectante Barrax110g (FS),AW6
AW60262,Hoja De Afeitar Minora Caja x 5 Cuchillas  (FS),AW6
AW60267,Champu Dove Reconstruccion Pote x 200mL (FS),AW6
AW20030,Pañal Tena Slip Clasico (Basic) M Unidad (FS),AW2
AW20033,Protector Tena For Men NOCHE Caja x 10 Unidades (FP),AW2
AW20040,Pañal Tena Slip Clasico (Basic) L Unidad (FS),AW2
AW20049,Pañitos Humedos Pequeñin Almendra Repuesto x 70 (FS),AW2
AW20051,Pañal Tena Slip Clasico Talla L Paquete x 9 unidades (FS),AW2
AW20055,Pañal Winny Ultratrim Gold Etapa 5 Paquete x 30Unidades (FS),AW2
AW20056,Pañal Tena Slip Ultra Talla L x 9 unidades (FS),AW2
AW20060,Pañal Tena Slip Ultra Talla M Paquete x 9 (FS),AW2
A060006,Aceite De Ricino 100% Solucion Oral Frasco x 60 mL Yoma (FP),A06
AW60156,Deopies Antitranspirante (Gris) Spray Grande x260mL (FS),AW6
AW60157,Deopies Antibacterial Hombre Spray Grande Pote x260mL (FS),AW6
AW60159,Crema Colgate Triple Accion Tubox100ml (FP),AW6
AW60163,Deopies Mujer Spray Pote x 260mL (FP),AW6
AW60167,Renu Fresh Solucion Para Lentes De Contacto Frasco x 355mL (FP),AW6
D100001,Betarretin 0.025% Gel Tubo x 30 g (Retinoico Acido) (FP),D10
D100011,Acido Retinoico 0.05% Crema Pote x 30 g Quifarma (FP),D10
D100022,Lactibon PH 3.5. Locion Frasco x 120 mL (Acido lactico) (FP),D10
D100023,Benzac A.C 5% Gel Tubo x 60 g (Peroxido de benzoilo) (FP),D10
D100025,Differin 0.1% Gel Tubo x 30 g (Adapaleno)  (FP),D10
D100029,Epiduo 0.1%/2.5% Gel Tubo x 30 g (Adapaleno/Peroxido de benzoilo)  (FP),D10
D100031,Sinac 1%/5% Gel Tubo x 30 g (Clindamicina/Peróxido de benzoilo)(FP),D10
D110006,Novader-K 2% Crema Tubo x 30 g (Vitamina K ) ( Drog ),D11
D110012,Alergibon avena Barra x 90 g (Dioxido de titanio) (FS),D11
D110013,Ureaderm 15% Crema Tubo x 60 g (Urea) (Drog),D11
D110017,Cremoquinona 4% Crema Tubo x 30 g (Hidroquinona) (VMR) (FP),D11
AW60173,Desodorante Balance Clinical Protection For Men 72h Sobrex11.5g (FS),AW6
AW60174,Lubricante K-Y gel Intimo tubox50g (FS),AW6
V060114,Nan 1 Tarro x 400 g Polvo para reconstituir (FP),V06
A100040,Galvus 50 mg Caja x 28 Tableta (Vildagliptina)  [RG] (FP),A10
A120027,Giralmet 2000 Unidades/80 mg Frasco x 30 Tableta Masticable (Vitamina D3/Magnesio) (FP),A12
S010048,Lagrifresh 0.3%/0.1% Solucion oftalmica Frasco gotero x15mL(Hidroxipropilmetilcelulosa/Dextran(Drog),S01
S010061,Oftalmotrisol 1.2%/0.1% Solucion oftalmica Frasco gotero x15 mL (Acido borico/Nafazolina) (FP),S01
AW60320,Renu Fresh Solucion Para Lentes Frasco x 120mL (FP),AW6
D110039,Folister Complex 5%/0.025%/0.1% Locion  Frasco x 60 mL (Minoxidil/Tretinoina/Clobetasol)(VMR)(FP),D11
AW60176,Gel De Afeitar Gillette Mach 3 Extra Comfort Pote x 72mL (Drog),AW6
AN10603,Sticker Adhesivo De Seguridad Pretroquelada ,AN1
AW20066,Pañal Tena Slip Ultra L Paquete x 21 unidades (FS),AW2
AW20067,Pañal Tena Slip Ultra M Paquete x 21 Unidades (FS),AW2
AW20068,Pañitos Humedos Pequeñin Con Aloe Repuesto Paquete x 70 Oferta (FS),AW2
AW20076,Protecores Lactinosotras Cajax40 unidades (FS),AW2
D110024,Sorel 3% Locion Frasco x 120 mL (Hidroquinona) (VMR) (FS),D11
AW60184,Champu Maria Salome Mujer Keratina Frasco x 400mL (FP),AW6
AW60186,Desodorante Arden For Men Sobre x 12 g (FP),AW6
AW60187,Acondicionador Pantene Liso Extremo  Potex400ml (FS),AW6
AW60190,Acondicionador Maria Salome Pote x 400mL  (FS),AW6
AZ10117,Funda Gel Silicona Dedal Talla L Ref-401007 Kamex (Drog),AZ1
BA30073,Lamina de silicona 10 x 10cm Kamex Ref-409011 (Drog),BA3
BA30074,Parche Para Callosidades hansaplast Caja x 6 (FP),BA3
BA30077,Parche Reductor de Cicatrices Hansaplast Caja x 21 (Drog),BA3
P030001,Nopion Plus 1% Crema Tubo x 60 g (Permetrina)( Drog ),P03
AW30221,Kelual DS Champu Frasco x 100 mL (Drog),AW3
R010001,Afrin Niños 0.025% Solucion Nasal Frasco x 15 mL (Oximetazolina) (FP),R01
D110027,Acid Mantle N 0.059% Locion Frasco x 120 mL (Acetato de aluminio) (Drog),D11
D110029,Ureaderm lactato 5%/8% Locion Frasco x 225 mL (Urea/Acido lactico) (Drog),D11
D110033,Acid mantle 0.059% Locion Frasco x 400 mL (Acetato de aluminio) (FP),D11
D110034,Octodir 0.5%/2%/0.5% Champu Frasco x 120 mL (Poroctona olamina/Zinc piriti/D-Pantenol) (FS),D11
D110036,Betapirox 1% Champu Frasco x 120 mL (Piroctona olamina) (FP),D11
D110037,Pilogan ultra 5% Locion topica Frasco x 60 mL (Minoxidilo) (VMR) (FP),D11
R010014,Nasonex 0.05% Spray nasal Frasco atomizador x 10 g (Mometasona furoat) [RG] (FP),R01
R010016,Nasacort AQ 55 mcg/dosis Spray nasal Frasco atomizador x 120 dosis (Triamcinolona ) (FP),R01
A110044,Cebion 100 mg/mL Solucion oral Frasco x 30 mL (Ascórbico Acido) (FP),A11
A160005,Ladiet Frasco x 150 Tabletas (Aspartame) (FP),A16
S010083,Relestat 0.5mg/mL Solucion oftalmica Frasco gotero x 5 mL (Epinastina) (FP),S01
S010087,Naabak 4.9% Colirio Frasco gotero x 5 mL (Acido N-acetilaspartilglutàmico) (FP),S01
S010091,Vigadexa 0.5%/0.1% Solucion oftalmica Frasco gotero x 5 mL (Moxifloxacina/Dexametasona) (Drog),S01
AW60273,Champu Johnson Manzanilla Potex100ml (FS),AW6
AW60274,Champu Johnson Manzanilla Potex200mL (FS),AW6
AW60290,Champu Johnson Original Potex400ml (FS),AW6
AW60291,Desodorante Rexona Clinical Clean Scent Barra x 50g Women (FP),AW6
BE10110,Media Gradiente Dama 8-15 mmhg a la Rodilla Visone Talla M No-varix Ref-10107243 (Drog),BE1
BE10111,Media Gradiente Hombre 15-20 mmHg talla-XL Negra No-varix Ref-10106616 (Drog),BE1
BE10112,Media Gradiente Hombre 8-15 mmhg Talla-M Negra Novarix Ref-10105913 (Drog),BE1
BE10113,Media Gradiente Hombre15-20 mmhg Talla-L Negra No-varix Ref-10106615 (Drog),BE1
BE10114,Media Gradiente Hombre 15-20 mmHg Talla-S Negra No-varix Ref-10106612 (Drog),BE1
BE10115,Media Gradiente Hombre Negra 20-30 mmHg Talla-L No-varix Ref-10105615 (Drog),BE1
AW60506,Listerine Cool mint ZERO ALCOHOL Menta Suave Frasco x 180mL  (FP),AW6
AW60509,Crema Dental Colgate Luminous White Carbon Activado Tbox75mL (FS),AW6
AD70042,Cateter intravenoso #18-1x1/4 Poliuretano Braun (FS),AD7
H020017,Betaduo(5 mg/2 mg)Suspension Inyectable Jeringa x 1mL (Betametasona diprop/Betametasona fos(Drog),H02
AW30102,Sunaid Gel Base Piel Clara Pote x 30g (FS),AW3
AW30103,Sunaid Gel Base Piel Oscura Pote x 30g (FS),AW3
AW30104,Cetaphil Jabon Limpieza Profunda Barra x 127g (FS),AW3
D070017,Betazol 0.05% Crema Tubo x 30 g (Clobetazol) (Drog),D07
D070018,Betazol 0.05% Locion Frasco x 60 mL (Clobetazol)(FP),D07
D070023,Clob-x 0.05% Champu Frasco x 118 mL (Clobetasol )  (FP),D07
D070024,Dermacortine 0.1% Crema Tubo x 15g  (Mometasona  furoato)(FP),D07
D070031,Clobezan 0.05% Crema Tubo x 25 g (Clobetazol)  (Drog),D07
D070033,Dermovate 0.05% Crema Tubo x 30 g (Clobetazol)(FP),D07
AW30113,Cetaphil Locion Limpiador Piel Sensible y Seca Pote x 473 mL (FP),AW3
AW30120,Emclarex Crema Tubo x 30g (FP),AW3
AW30121,Neomelan Plus Emulgel Pote x 30g (Drog),AW3
AD70043,Cateter intravenoso #20-1x1/4 Poliuretano Braun (FS),AD7
M010052,Lumbal 220 mg/50 mg Tirilla x 6 Tableta (Naproxeno/Cafeina)  (Drog),M01
BE30079,Plantilla Completa en Silicona Par (Sin Boton) Talla M (Drog),BE3
AO50008,Mouse Con Conexión Para Puerto USB Genius DX110,AO5
AO10010,Guardian de 0.5 L,AO1
BE20035,Ortesis Tobillo-Pie A Medida O.T (Institucional Drog),BE2
AW30127,Cetaphil Crema Pote x 453 g -16 Oz (Drog),AW3
AW30128,Cetaphil Limpiador Piel Normal-Grasa Pote x 236 mL (FP),AW3
BE20013,Corrector De Juanete Adulto Derecho Ref- KM 400 (Drog),BE2
BE20014,Corrector de juanete adulto izquierdo KM401 ( Drog ),BE2
BE30085,Plantilla Ortopedica A Medida Cod 0105 O.T (Institucional Drog),BE3
AW30133,Novatrix Crema Tubo x 50g (Drog),AW3
AW30142,Emclarex Gel Tubo x 30g(FP),AW3
AW30146,Cetaphil Locion (Emulsión) Hidratante Alta tolerancia Pote x 473 mL(FP),AW3
AW30157,Acuanova Soft Pote x 220 g (Drog),AW3
AN10056,Humedecedor de Dedo Con Glicerina 50grs,AN1
M020001,Vacol 0.1034 Pomada Tubo x 20 g (Sulfato de magnesio) (FP),M02
A110020,Cebion Naranja 500 mg Tirilla x 10 Tableta Masticable (Vitamina C) (FS),A11
A110033,Cebion Mandarina 500 mg Tirilla x 10 Tableta Masticable (Vitamina C) (FS),A11
A110048,Complejo B (B1/B2/B6/Nicotinamida) 50/10/100/100mg Solucion Inyectable x 2 mL Ecar (Drog),A11
AN10073,Marcador Para Tablero Seco Negro,AN1
AN10070,Marcador Permanente Negro Sharpie Punta Fina,AN1
AN10065,Marcador Industrial Negro Sharpie,AN1
BE20015,Ortesis Tipo Sarmiento Humero Orth (Institucional Drog),BE2
BE20019,Muñequera Antebrazo Derecho Largo Kamex Ref: 18500 (Drog),BE2
BE20027,Ortesis Tipo Brace De Tibia Tipo Sarmiento Orth (Institucional Drog),BE2
AN10071,Marcador Permanente Rojo Sharpie Punta Fina,AN1
BE30050,Zapato Para Yeso ambidiestro Talla S ( # 33 ) (Drog),BE3
BE30061,Talonera en Silicona Para Amortiguacion (Par) Tecnomed  Talla L ( 40-43) Ref- 867000300043(Drog),BE3
AW30172,Cicatricure Gel Para CicatricesTubo x 60g (FP),AW3
AW30175,Alergibon Baby Kids Barrax150g (FS),AW3
AW30179,Cicatricure Crema Facial Anti Edad Tubox60g (FS),AW3
AD70039,Cateter Intravenoso # 22x1 Braun (Drog),AD7
AW40004,Chapstick Menta Labial (FS),AW4
AW40006,Crema Numero 4 Medicada Tubo x 60 g (Oxido de Zinc/Nistatina) (FS) ,AW4
AW40007,Crema Liquida Johnson Baby Original x 100mL ( FS),AW4
AW40009,Chapstick Cereza Labial (FS),AW4
AW40133,Goicoechea Elastina/Colageno/frutos Rojos (Efecto reafirmante) Pote x 400mL (FP),AW4
A110006,Centrum Silver NF 50+ Frasco x 30 Tabletas (Suplemento multivitaminico con minerales) (FS),A11
AN10054,Gancho Para Cosedora Estandar,AN1
BE10098,Media Gradiente Hombre Negra 20-30 Talla M No-varix Ref-10105613 (Drog),BE1
BE10104,Rodillera Estabilizadora Talla M Ref - 18735N Kamex (Drog),BE1
A020006,Hidroxido de aluminio/Magnesio/Simeticona (4/4/0.4)g/100 mL Susp oral Frasco x 360 mL Coasphar (Dro),A02
S010036,Systane  Suspension Oftalmica  Frasco gotero x 15 mL (Polietileng400 0.4%/Propileng 0.3%) (Drog),S01
J010115,Amoxidal duo 875 mg Caja x 14 Tableta (Amoxicilina) (FP),J01
G030010,Nofertyl 50 mg/5 mg Solucio inyectable Ampolla x 1mL (Noretisterona/Estradiol valerato) (RG) ( FP ),G03
M010017,Ketoprofeno 100 mg/2 mL Solucion inyectable Ampolla Genfar (Drog),M01
BH20051,Crema limpiadora multiusos Grasoff x 500 gr Marca Cory,BH2
N020016,Sevedol 250 mg/250 mg/65 mg Tableta (Acetaminofen/Acido acetilsalicílico/Cafeina) (Drog),N02
AN10116,Tinta Para Sello Negra Pelican,AN1
AW60109,Aceite johnson Frasco x 50 mL (FS),AW6
AW60116,Acondicionador Sedal Ceramidas Pote x 340mL (FS),AW6
AN30031,Toalla Multiusos Scott x64 Hojas de 21x22cms,AN3
AW60129,Toallitas Humedas Pequeñin Acolchamax Sin Alcohol  Paquete x 24 unidades (FS),AW6
AW60132,Removedor De Esmalte Masglo Con Vitamina E Frasco x 60mL (sin Acetona) (FP),AW6
BJ90062,Piston Silla Ergonomica Bachi,BJ9
AW60056,Listerine Cool Mint Menta Frasco x 180mL (FS),AW6
