codigo_medicamento,nombre_medicamento,grupo_medicamento
AW60724,Cepillo Dental Vitis Ultrasuave (FP),AW6
AW20134,Toalllitas Humedas Winny Miel y Avena Paquete x 40unidades (FP),AW2
A060065,Fybogel Fibra Natural Naranja Sobre x 4.4g (Ispaghula Husk)(FP),A06
AW30289,Lipiel Fem Jabon Intimo Femenino Frasco x 300mL (FP),AW3
A060061,Picoprep (10mg/3.5g/12g) Polvo para Sln Oral Cajax2 sobres (Picosulfato/Mg Oxido/Acido Citrico) Drog,A06
AW40175,Nivea Body Q10 Crema Corporal Reafirmante Pote x 125ml (127g)  (FP),AW4
A010030,Fitostimoline Gel Tubo x 32g (Triticum Vulgare) (FP),A01
J010320,Moxifloxacino 400mg Caja x 7 Tabletas Recubiertas Genfar [RG] (FP),J01
AW60710,Talco Desodorante Arden For Men Pote x 300g Promocion +85g + 30g (FP),AW6
AW60713,Champu + Acondicionador Dove Reconstruccion x 400(Sin Sal)  Kit (FP),AW6
A020127,Pantoprazol 20 mg Caja x 30 Tabletas Con Cubirta Entérica Colmed (FP),A02
V060245,Nutrigel 2.0 Colageno Hidrolizado 100% Caja 30 Sobres Sabor Naranja (Drog),V06
BE10217,Faja Costilla Hombre Talla S/M (FP),BE1
AW60691,Champu Johnson Gotas De Brillo Pote x 200 mL (FP),AW6
A060063,Ciruelax Minitabs Caja x 20 Comprimidos recubiertos ( Extracto de hojas de cassia) (FP),A06
D010050,Clotrimazol 1% Crema Tópica Tubo x 40g Genfar (Drog),D01
A060070,Evalax  Sin Electrolitos Pote x 250g (Polietilenglicol (3350)) (Drog),A06
D010051,Terbinafina 1% Crema Tópica Tubo x 20g Genfa (Drog),D01
N020153,Imigran FDT 50mg Caja x 2 Tabletas Recubiertas de Rapida Desintegración (Sumatriptan) (FP),N02
D070090,Dermosupril 0.05% Crema Tubo x 15g (Desdonida) (FP),D07
AW30287,Eucerin 50+ Gel-crema Facial Oil Control Toque Seco SIN COLOR Frasco x 50mL (FP),AW3
AW60707,Desodorante Dove Dermoaclarant Roll-on x 50mL (FP),AW6
A100070,Novorapid 100 Unidades/mL Solucion Inyectable (Insulina ASPART) Lapicero x 3 mL [*-AR-RG] (FP),A10
AW70001,Toallas Stayfree Con Alas Normal Paquetex10 unidades (FS),AW7
B010077,Eliquis 2.5mg Caja x 20 Tabletas (Apixaban) [AR-RG]  (FS),B01
A110141,Centrum Advance Frasco x 30 Tableta (Suplemento multivitaminico con minerales) (FP),A11
AW60732,Opti-Free Puremoist Solución Para Lentes De Contacto (Multiproposito) Frasco x 60mL (FP),AW6
BE20082,Protesis Transradial Izquierda Mecanica,BE2
D100046,Zudenina F 0.3% Gel Tubo x 30g (adapalene)  (FP),D10
V060246,Similac Mamá Eye Q PLus Tarro x 400g (FP),V06
BE10215,Media Pantalon Con Gradiente De Presion 20-30mm Talla M  Beige Mujer No-varix Ref-10106103 (Drog),BE1
C070075,Concor 5mg Caja x 30 Tabletas (Bisoprolol) (RG) (FP),C07
AW60725,Cepillo Dental Vitis Orthodontic (FP),AW6
AW60726,Cepillo Interproximal Interprox Plus Cónico Kit x 6 unidades (FP),AW6
AW60728,Cepillo Interproximal Interprox Plus Nano Kit x 6 unidades (FP),AW6
A070058,Vagilac Caja x14 Capsulas (Lactobacilos) (FP),A07
J070036,Broncho-Vaxom Niños 3.5mg Polvo (2 Sobres) (Lisados  (FP),J07
AW70004,Protectores Diarios Carefree Paquete x 15 (FS),AW7
C050038,Crema Cero Con Aloe Vera Pote x 50g (Crema Dermoprotectora) (FP),C05
S010259,Humylub PF Gotas Oftalmicas Frasco x 10mL (Hialuronato de Sodio/Condroitina 0.1%/0.18%) (Drog) [RG],S01
AW60731,Desodorante Old Spice Adventure Spray x 150 mL Kir 2 x 1 (FP),AW6
S010253,Talof 0.2% Solución Oftalmica Frasco x 5mL (Loteprednol etabonato) (Drog),S01
AW60715,Jabon Johnson Baby Antes De Dormir Natural Barra x 125g (FP),AW6
S010257,Acrylarm 0.2% Gel Oftalmico Tubo x 10g (Acido Poliacrilico) (FP),S01
R010055,Eclosynt-Nas 50 mcg/dosis Aerosol NASAL Frasco x 200 dosis (Beclometasona) (FP),R01
V060254,Pediasure Vainilla Nutricion Oral Liquida Frasco x 220mL  (FP),V06
BE10221,Media Gradiente 15-20 a la Rodilla Transparente Blanca (Lisa) Talla M Ref- 10105553 (Drog),BE1
N020151,Tramal Long 50 mg Caja x 10 Tabletas Liberacion Prolongada (Tramadol) (FP),N02
A110144,Piridoxina Clorhidrato 50 mg Tirilla x 10 Tabletas Ecar (Drog),A11
AW60714,Baño Liquido De La Cabeza A Los Pies Johnson Pote x 200mL (FP),AW6
AW60716,Jabon Johnson BABY Original Barra x 110g (FP),AW6
AW60727,Cepillo Interproximal Interprox Plus Super Micro Kit x 6 unidades (FP),AW6
G010036,Lomecan V 200 mg  Caja x 3 Ovulos Vaginales (Clotrimazol) (FP),G01
A070062,Vivera Caja x 8 Sobres(Lactobacilos) (FP),A07
AW60709,Neutrogena Makeup Remover Refill Pack (azul) (toallas Desmaquilladoras) Paquete x 25unidades (FP),AW6
J010325,Monuril 3 g Polvo granulado Caja x 1 Sobre (Fosfomicina) (RG) (FP),J01
P010077,Nytax 100mg/5mL Suspension Reconstituida Frasco x 30mL (Nitazoxanida)(FP),P01
AW70003,Toalla Tena Mujer Medium x 10 (FP),AW7
S010252,Timolet 0.5% Solución Oftálmica Frasco Gotero x 5 mL (Timolol) [RG] (Drog),S01
BE10223,Media Pantalon Gradiente 20-30 Dama Blanca Opaca Talla L Ref- 10106255 (Drog),BE1
J010334,Clavulin 875 mg/125 mg Caja x 14 Tabletas (Amoxicilina/Acido clavulAnico ) (FP),J01
A010031,Sal Inglaterra Bolsa x 400g Yoma (FP),A01
G030114,Facetix Mini 20 Caja x 28 Tabletas Recubiertas (Ciproterona2mg/etinil estradiol 20mcg) (RG) (FP),G03
AW60734,Maquina Afeitar Schick Xtreme x 1 (FP),AW6
R010058,Mometasona Furoato 50 mcg/dosis (0.05%) Spray Nasal Frasco x 18g M.K (RG) (Drog),R01
A100071,Metformina 500 mg Tirilla x 10 Tabletas Genfar  (FP),A10
AW40180,Vaselina Blanca USP Pote x 400g Yoma (Natu Pharma) (FS),AW4
A020138,Nexium 10 mg Polvo Granulado Sobrex  (Esomeprazol)(FP),A02
AW30288,Sunglass Gel SPF45 Protector Solar Tubo x 80g (FP),AW3
G010035,Lomecan V 2% Crema vaginal x 20g + 3 Aplicadores ( FP ),G01
AW40173,Nivea Q10 Crema Corporal Rerafirmante Pote x 250mL(253g) (FP),AW4
R050098,Noraver Gripa Noche Sabor Panela-Limon Polvo para reconstituir Sobre x 15g [VMR] (FP),R05
AW30284,Kelual DS Crema Tubo x  40mL (Crema Suavizante Querato-reductor) (FP),AW3
S010256,Optive Fusion 0.5/0.9/0.1% Solucion Oftalmica Frasco Gotero x 15mL (Carboxim/Glicerina/Hialuro) (FP),S01
V060241,Pediasure Fresa Polvo Para Reconstituir Lata x 850g (FP),V06
A020124,Gaviscon Suspensión Oral Frasco x 300mL  (FP),A02
G010037,Clotrimazol 1% Crema Vaginal  Tubo x 40g + 6 aplicadores Genfar (FP),G01
G010038,Vaxiduo 100/400mg Caja x 5 Ovulos (Clindamicina/ketoconazol) (FP),G01
AW60708,Desodorante Dove Dermoaclarant (Tono Uniforme)  Spray x 150mL (89g) (FP),AW6
A020118,Genoprazol 20mg Caja x 14 Capsulas (Omeprazol) (FP),A02
C050037,Crema Cero Con Aloe Vera Pote x 240g (Crema Dermoprotectora) (FP),C05
M010210,Advil Fem 400mg/65mg Caja x 10 Tabletas Recubiertas (Ibuprofeno/Cafeina)  (Drog),M01
A020128,Pantoprazol 40 mg Caja x 30 Tabletas Con Cubierta Enterica Colmed (FP),A02
N020159,Acetaminofen 500 mg Blister x 10 Tabletas Genfar (FP),N02
AW60742,Acondicionador Tio Nacho Engrosador Jalea Real+ Extracto de Ortiga Pote x 415mL (FP),AW6
AW60744,Jabon Johnson Refrescante Uva Verde Barra x 110g (FP),AW6
AW70040,Protectores Diarios Nosotras Paquete x 15 unidades (FP),AW7
V030107,Mieltertos Con Miel y Propoleo Sobre x 4 Caramelos Duros (FP),V03
C030037,Aldactone 100mg Caja x 30 Tabletas (Espironolactona) (FP),C03
AW60747,Cepillo Vitis Duro Cabeza Normal Ref-6508 (FP),AW6
AW60748,Cepillo Vitis Medio Cabeza Normal Ref-0818 (FP),AW6
G030120,Ovestin 0.5mg Caja x 15 Ovulos Vaginales (Estriol) [RG] (FP),G03
A110151,Z-Full Zinc  Sabor Vainilla Granulado Tarro x 300g  (VMR (FP),A11
BE10225,Ortesis Antebraquiopalmar Semirigida a medida (Institucional Drog),BE1
AW30316,Unitone 4 White Advanced Frasco x 15mL (FP),AW3
A030135,Colik Forte 220/250/65mg Blister x 5 Tabletas Recubiertas (Naproxeno/Acetam/Cafeina)  (FP),A03
AW20147,Pañitos Humedos Pequeñin Naricitas Paquete x 20 unidades (FP),AW2
R060111,Fexofenadina 180 mg Caja x 10 Tabletas Cubiertas M.K(FP),R06
A100079,Trulicity CF 1.5mg/0.5mL Solucion Inyectable Subcutá Caja x 4 Jeringas  (Dulaglutida) (RG) (Drog),A10
AZ10143,Funda Gel Silicona Dedal Talla M Ref- 401005 (Drog),AZ1
A100081,Glucophage XR 500 mg Caja x 30 Tabletas Lliberacion Prolongada (Metformina)  (FP),A10
AW20150,Pañal Tena Slip Ultra Talla S x 1 Pañal (FS),AW2
A030131,Reflufin Plus 100mg/500mg en 100mL Frasco x 240mL (Mtoclopramida/simeticona) (FP),A03
AW30318,Eucerin Sun Fluid Anti- Edad Facial FPS50 (Fotoenvegecimiento) Pote x 50mL(52g) (FP),AW3
AW60741,Champu Tio Nacho Engrosador Jalea Real+ Extracto de Ortiga Pote x 415mL (FP),AW6
AW60758,Sensibio H2O Solución Desmaquillante Pote x 250mL (FS),AW6
R060110,Fexofenadina 120 mg Caja x 10 Tabletas M.K (FP),R06
S010265,Gentamicina  3 mg/mL  (0.3%) Solución Oftálmica Frasco Gotero x 6mL Colmed (FP),S01
J050090,Efavirenz 600mg Frasco x 30 Tabletas Aurobindo (FP) [RG],J05
A010034,Benzirin Verde  Eucalipto Tirilla x 2 Tabletas Masticables (Bencidamina) (FP),A01
V030109,Valeriana+Pasiflora Gotas Orales Frasco x 60mL Botanitas (FP),V03
D070094,Dermosupril 0.1% Crema Tópica Tubo x 15g (Desonida)(FP),D07
C100081,Omega 3 (30%) + Vitamina E  Frasco x 100 Capsulas Medik (FP),C10
A030133,Trimebutina 300 mg Tirilla x 10 Tabletas Recubiertas Colmed(FP),A03
N020165,Novalgina 500mg Tirilla x 10 Tabletas (FP),N02
AW60766,Champu Johnson Manzanilla (Cabello Claro) Pote x 750 mL (FP),AW6
AW60756,Listerine Anticaries Zero Alcohol Pote x 500mL (FP),AW6
AW60757,Listerine Anticaries Zero Alcohol Pote x 180mL (FP),AW6
A110154,Vitamina C  1g Frasco x 10 Tabletas Efervescentes Naranja M.K (Drog)),A11
AW60761,Perio-Aid Active Control 0.05/0.05% Enjuague Bucal Frasco x 150mL (Clorhexidila+CPC) (FP),AW6
AW60762,Pasta Dentrifica Vitis Encias Tubo x 100mL (FP),AW6
AW40186,Nopikes Repelente ADULTO Liquido Atomizador  Frasco x 120mL (FP),AW4
A120066,Farma D 2000 U.I Frasco x 60 Capsulas Blandas de Gelatina (VItamina D3)   (FP),A12
AW30323,Cicatricure Gel  Para Cicatrices Tubo x 30g (FP),AW3
AW60760,Perio-Aid Intensive Care 0.12% Gel Dentrifico y Topico Tubo x 75ml (Clorhexidina) (FP),AW6
A020143,Gastrum PLux 10% Sachet x 10mL (Hidrotalcita)  (FP),A02
A030129,Sertal Compuesto  10mg/125mg Tirirlla x 10 Comprimidos Recubiertos (Propinox/Lisina)(FP),A03
AW70041,Toallas Nosotras Buenas Noches Tipo Tela Paquete x 10 Unidades (FP),AW7
AO10526,Recolector De Orina Para 24 Horas P & S AMBAR Tarro capacidad 3000mL (FP),AO1
L020025,Taxus 20mg Tirilla x 10 Tabletas (Tamoxifeno) (FP),L02
D110061,Rozelaic Gel 15% Tubo x 30g (Acido Azelaico) (Drog),D11
AW40188,Sebosedil Liquido Pote x 150mL (FP),AW4
A010035,Afta Kids Gel Tubo x 15g (Acido Hialuronico) (FP),A01
BE10227,Media Gradiente Hombre15-20 mmhg Talla-L Blanca No-varix Ref-10106655 (Drog),BE1
D070095,Clobezan 0.05% Locion capilar Topica Frasco x 60mL (Clobetazol)(FP),D07
AW20149,Pañal Tena Slip Ultra Talla XL Paquete x 21 pañales (FS),AW2
A100078,Jardiance 10mg Caja x 30 Tabletas Recubiertas (Empagliflozina) [RG] (FP),A10
R050099,Adorem Gripa 4 Acción Tirilla x 4 Cápsulas (FP),R05
C080076,Verapamilo Clorhidrato 120 mg Tririlla x 10 Tabletas M.K (FP) [RG],C08
BE10226,Media Gradiente Hombre15-20 mmhg Talla M Blanca No-varix Ref-10106653 (Drog),BE1
AW20151,Pañal Winny Ultratrim Sec Etapa 4 ( XG ) Paquete x 30 pañales (FS),AW2
BE10228,Media Gradiente Hombre15-20 mmhg Talla-S Blanca No-varix Ref-10106652 (Drog),BE1
AW60781,Colgate Periogard Solucion Bucal 0.12% Frasco x 250mL (Clorhexidina) (FP),AW6
R030128,Symbicort Turbohaler 160mcg/4.5mcg PolvoPara Inhalac Inhalador x 60 Dosis(Budesonida/formo (RG) (FP,R03
AW70043,Toallas  Stayfree Adapt PLus Ultradelgada Tela Suave Con Alas Paquete x 12 unidades (FP),AW7
AW70039,Nosotras Natural Invisible Tipo Tela Alas Paquete x 10 (FS),AW7
A070072,Enterogermina Plus 4000 Millones/5mL Caja x 5 Frascos Bebibles (Esporas de bacillus)  (FP),A07
V030108,Vick Baby Balm (Balsamo para bebes) potex 50g (FP),V03
AW60768,Sensodyne Repara y Protege Tubo x 100g (FP),AW6
AW40193,Effaclar Concentrado Barra Dermatologica Piel Grasa Barra x 80g (FP),AW4
D070097,Bioderm Crema Tópica Tubo x 20g (Dexametasona/Gentamic/Ketoconaz)(FP),D07
AW60770,Desodorante Nivea Black & White Invisible Mujer Barra x 43g (FP),AW6
AW60772,Desodorante Nivea Black & White Invisible Men Rollon x 50mL (FP),AW6
AW60773,Desodorante Nivea Black & White Invisible Men Spray x 150mL (90g) (FP),AW6
AW60774,Desodorante Nivea  Black & White Women Invisible Rollon x 50mL (FP),AW6
AW60775,Desodorante Nivea  Black & White Invisible Women Spray x 150mL (91g) (FP),AW6
AW40196,Nivea  Protector Labial Med Repair (Medicado) (FP),AW4
AW30322,Jabon Intimo Nivea Confort Natural Pote x 250mL/254g (FP),AW3
H020078,Pepred 1mg/mL Solución Oral Frasco x 100mL (prednisolona) (FP),H02
G040092,Tadalafilo 5 mg Caja x 28 Comprimidos Recubiertos Genfar(Drog),G04
AW60764,Champu Johnson Baby Cabello Oscuro (Romero y Quina )Pote x 400mL (FP),AW6
AW60765,Champu Johnson Baby Cabello Oscuro (Romero y Quina )Pote x 100mL (FP),AW6
A110150,Vitamina C + Zinc 500 mg Tirilla x 10 Tabletas Masticables  Genfar (FP),A11
D070098,Dermovate 0.05% Loción  Capilar Frasco x 60mL (Clobetasol)(FP),D07
G030118,Belarina 2/0.02mg Caja x 28 Comprimidos Recubiertos (Clormadinona/Etinilestradiol) (RG) (FP),G03
AW30324,Asepxia Jabon Azufre Barra X 100 g (FP),AW3
N080150,Alprazolam 0.5 mg Caja x 30 Tabletas Genfar (FP),N08
BE20098,Ferula De Extensión Interfalangica (Drog),BE2
C090148,Enalapril Maleato 5mg Blister x 10 Tabletas M.K (FP),C09
AW40203,Antitranspirante  Antisweat Annysoft Potex 60mL (FP),AW4
BE20100,Socket TransfemoralCon Encaje Flexible(Orth) (Drog),BE2
BE20101,Liner De Silicona (Institucional Drog),BE2
R030136,Eclosynt 50 mcg/dosis Aerosol Frasco x 200 dosis (Beclometasona) (FP),R03
A010036,Fitostimoline 15% Gel Tubo x 15g (Triticum Vulgare) (FP),A01
A060073,Ciruelax Jalea Laxante pote x 300g (FP),A06
V060276,Glucerna Vainilla Polvo Para Reconstituir Lata x 850g (FP),V06
R060113,Cetirax 10mg Caja x 10 Tabletas Masticables (cetirizina) (FP),R06
D070099,Dermacortine Emulsion 0.1% Frasco x 60mL (Mometasona Furoato)(FP),D07
V030115,Sedatif PC Caja x 40 Tabletas (FP),V03
B010082,Acido Acetilsalicilico 100 mg Blister x 10 Comprimidos Genfar (Drog),B01
BE10234,Faja Costilla Mujer Talla S/M Power Medical (Drog),BE1
BE10235,Rodillera Con Barras Laterales En Neopreno Talla M (Drog),BE1
N020170,Acetaminofen/Codeina 325 mg/8 mg  Blister x 10 Tabletas M.K (FP),N02
BE30132,Plantilla Completa en Silicona Par Talla M Sobgel Ref -13002(Drog),BE3
BE10233,Ostesis antebraquipalmar Miembro Superior En Orthoplast (O.T) (Drog),BE1
AW30328,Locion Mentolada Con Canabis Y Calendula Frasco x 260mL Cosmenales (FP),AW3
N070037,Nicorette 4mg Caja x 30 Tabletas de Goma Masticable (Nicotina)(FP),N07
AW60827,Tetero Con Asas 5 Onzas Mommytos (FP),AW6
V060297,Baby Klim 2 (6-12 Meses) Tarro x 800g (FP),V06
A020155,Bicarbonato de Sodio Bolsa x 400g  Yoma (FP),A02
A070079,Eptavis 3 g Polvo ara Recosntituir Sobre (Fermentos lactivos vivos liofilizados) (VMR) (FP) *,A07
G040099,Avodart 0.5 mg Caja x 30 Capsulas Blandas (Dutasteride) [RG] (FP),G04
AW60824,Crema Dental Niños Fitokids Tubox75g Sabor a Menta (FP),AW6
A030152,Buscapina Compositum NF10 mg/325mg Blister x 10 Tabl( Hioscina butilbromuro/Acetaminofen)  (FP),A03
G030129,Bellaface Suave 2mg/20Ug Caja x 28 Tabletas Recubiertas (Dienoges/etinilestradiol) (RG) (FP),G03
BE10242,Media Gadriente 20-30mmHg Hombre Color Blanco Talla S Ref-10105652 (Drog),BE1
BE10243,Media Gradiente 30-40  Hasta La Rodilla Opaca Unisex Talla M Ref-10105703 (Drog),BE1
B050196,Cloruro De Sodio 0.9% Bolsa PVC x 1000mL Corpaul (FP),B05
B050199,Agua Esteril Para Inyección Bolsa BFS x 10mL Corpaul (FP),B05
BE20107,Ferula Dinamica Para mejorar Flexion A Medida (O.T) (Institucional Drog),BE2
AP80027,GlucoQuick Tirilla De Prueba Para Glucosa Caja x 50 unidades (FP),AP8
AP80028,GlucoQuick Glucometro (Sistema de monitoreo de glucosa)  (Drog),AP8
AP80029,GlucoQuick Lancetas caja x 50 unidades (FP),AP8
H030041,Eutirox 88mcg Caja x 50 tabletas (Levotiroxina) (FP),H03
V070146,Forz Crema Aplicacion Externa Sobre x 12g (salicilato de metilo)(VMR)  (Drog),V07
AW40215,Nelind Crema 20g/10.000.000 U:I Tubo x 40g (Oxido de zinc/Nistatina)(FP),AW4
M010233,Advil Max 400mg Tirrilla x 4 Capsulas (Ibuprofeno) (Drog),M01
AW60806,Shampoo J&J Fuerza y Vitamina Pote x 200 mL (FP),AW6
D050009,Daivobet 0.5 mg/50 mcg por gramo Unguento Tubo x 30 g (Betametasona/Calcipotriol) (Drog),D05
S010289,Maxitrol 0.1%/0.35%/6 mil Unidades Sln Oft Fco gotero x 5 mL (Dexametasona/Neomicina/Polimixina (FP),S01
AW70047,Protectores Nosotras Largos Paquete x 15 unidades (FP),AW7
D070104,Exania 0.05% Emulsion Frasco x 60mL (Clobetasol)(FP),D07
V060293,Baby Klim 2 de 6-12 Meses Tarro x 400g (FP),V06
N050141,Hidroxicina 25 mg Blister x 10 Tabletas Genfar (Drog),N05
M010237,Sulfato De Magnesio Bolsa x 400g YOMA (FP),M01
AW60830,Chupo Entretenedor + Sujetador Mommytos Ref-8304 (FP),AW6
AW40219,Crema Ponds S facial Pote x 50g (FP),AW4
A070084,Hidraplus 75 Con Zinc Sachet x 100mL Cereza (FP),A07
AW60804,Acondicionador J&J Baby Fuerza y Vitamina Pote x 200 mL (FP),AW6
AW60805,Jabon Johnsons Baby Libre de Germenes Barrra x 125g (FP),AW6
AW20155,Pañal Tena Slip Clasico (Basic) Talla  XL x 9 Unidades (FS),AW2
AW60814,Crema Ultra Corega Tubo x 40g Sin Sabor (FS),AW6
V060288,Ensure Advance VAINILLA Tarro x 400g (FP),V06
D070102,Dermosupril Emulsión Tópica 0.05% Frasco x 120mL (Desonida)(FP),D07
A110159,Vitamina E 1000 Unidades Frasco x 30 Capsulas Blandas Porcaps(FP),A11
A110161,Arcalion 200mg Frasco x 20 Comprimidos (Sulbutiamina)(FP),A11
A120068,Vitacerebrina Next Frasco x 60 Tabletas (FP),A12
AW60815,Desodorante Rexona Clinical Women Extra Dry Potex48g (FP),AW6
C100090,Rosuvastatina 20 mg Blister x 7 Tabletas Recubiertas M.K (FP),C10
A020152,Ditopax Limon Naranja x 10 Tabletas (282/87/25mg)(Alum hidróx/Magne hidróx/Simetic) (Drog),A02
A020153,Mylanta Dos Fresa 400 mg/400 mg/30 mg Suspensión Oral Frasco x 240 mL  (Hidróxido Al/Mg/Simet) (Drog,A02
AW60822,Desodorante Balance Clinical Proteccion Crema x 35g For Men (FP),AW6
AW60823,Desodorante Balance Clinical proteccion Care Crema x 35g For Women (FP),AW6
AW20152,Pañitos Humedos Freskitos Sin Alcohol  Paquete x 70 lleve 102 (FS),AW2
A030145,Buscapina Fem 20/400mg Blister x 6 Comprimidos Recubiertos (Hioscina/Ibuprofeno)  (FP),A03
BE10238,Media Pantalon Materna Gradiente 15-20 Talla M Beige Ref-10106003 (FP),BE1
BE10237,Media Pantalon Materna Gradiente 15-20 Beige Talla L Ref-10106005 (FP),BE1
S010270,Tobrex 0.3% Solucion Oftalmica Frasco gotero x 5 mL (Tobramicina)(FP),S01
BE20103,Ortesis De Bloqueo Palmar Tipo Palmeta En O.T (Institucional Drog),BE2
AW60800,Cepillo Oral B Ultrafino kit 2x1 (FP),AW6
AW40207,Avene Solaire Anti-Age (Solar Antiedad) SPF 50+ Toque Seco Pote x 50mL (FP),AW4
AW40208,Avene Mat Perfect Fluido Color SPF 50+ Toque Seco Pote x 50mL (FP),AW4
C070081,Propranolol Clorhidrato 40 mg Caja x 20 Tabletas Coaspharma (Drog),C07
V070145,Aceite Cristal Frasco x 460mL Yoma (Drog),V07
AW60810,Desodorante Nivea Black & White Invisible Hombre Barra x 43g (FP),AW6
D100050,Rovacor 20mg Caja x 30 Capsulas (Isotretinoina)  (FP),D10
J010384,Penicilina G Benzatínica 1 millón 200 mil Unidades Polvo Para Inyección Vitalis (FP),J01
A070074,Nistatina 100.000 UI/mL Suspension Oral Frasco x 60mL Labinco (FP),A07
V060298,Similac Total Confort HMO Etapa 1Tarro X 820g (FP),V06
V060284,Baby Klim 1 0-6 Meses Tarro x 800g (FP),V06
AW30333,Nivea Lip Care Sun FPS30 Labial Cereza (FP),AW3
D100049,Isoface 20mg Caja x 30 Capsulas Blandas (Isotretinoina)(FP),D10
A100084,Jardiance Duo 12.5/850mg Caja x 60 Tabletas Recubiertas (Empagliflozina/Metformina) (RG)(FP),A10
C010062,Rytmonorm 150mg caja x 30 tabletas (Propafenona)(FP),C01
N020185,Winadeine F 325 mg/30 mg Tableta (Acetaminofen/Codeína) (Institucional Drog),N02
A120072,Citragel 1500mg/200Ui Blister x 5 Capsulas Blandas (citrato de calcio/vitamina D) (FP),A12
AW60852,Desodorante Arden For Men Original Mini Roll-on x 30mL (FS),AW6
AW60845,Lima De Carton Masglo x Unidad (FP),AW6
BE20102,Ortesis Plantar Fibra de Carbono (Institucional Drog),BE2
C100096,Rosuvastatina 40mg Blister x 7 Tabletas Cubiertas M.K (FP),C10
C100092,Rosuvastatina 10 mg Tirilla x 7 tabletas M.K  (Drog),C10
AW60849,Tetero Mommytos Prematuros 2 Onzas (FP),AW6
B030052,Acido Folico 1mg Blister x 20 Tasbletas Ecar (FP),B03
AW70044,Toallas Stayfre Noche y Dia Tela Suave Con Alas Paquete x 8 unidades (FP),AW7
D020032,Pasta Lassar (Protector Cutaneo) 25g/100g Pote x 100 g (Oxido de zinc)   (Drog),D02
D070105,Dermovate 0.05% Unguento Tubo x 40 g (Clobetasol) (FP),D07
D070109,Dermacortine 0.1% Emulsión Tópica Frasco x 60 mL (Mometasona)(FP),D07
D100053,Acido Retinoico 0.05% Locion Frasco x 60 mL (FP),D10
G040100,Duodart 0.5mg/0.4mg Caja x 30 Cápsulas (Dutasterida/Tamsulosina) (RG)(FP),G04
R050108,Dolex Gripa 500 mg/5 mg/2 mg Blister x 4 Tabletas (Acetaminofen/Fenilefrina/Clorfeniramina) (VMR(FP),R05
S010286,Altracine A(50000 UI/0.1 g/1 Millo UI)/100g Unguento Tubo x 5 g (Bacitracina/Dexameta/Poli(FP,S01
S010287,Trazidex Unguento OftalmicoTubo x 3.5g (Tobramicina/Dexametasona)(Drog),S01
A110162,Bedoyecta TRI Solucion Inyectable x Jeringa  (complejo B)  (FP),A11
A110170,Neurobion DC 10.000 Sln Inyectable Jeringa Prellena 2 mL(Tiamina/Piridoxina/Cianocobalamina) (Drog),A11
C010060,Rytmonorm 300mg caja x 20 tabletas Recubiertas (Propafenona) (FP),C01
BE10244,Media Gradiente Con Diseño 15-20mmHg a la Rodilla Blanca Con Diseño Talla S  Ref -10102652 (Drog),BE1
AW50022,Durex Love Sex Extra Seguro Caja x 3 Condones Lubricados (FP),AW5
V060294,Glucerna Vainilla 400 g Polvo Para Reconstituir (FP),V06
V060295,Nutrilon Pepti Junior 400 g Polvo para reconstituir (FP),V06
R050109,Descongel Gripa 500 mg/10 mg/5 mg Blister x 4 Capsulas (Acetaminofen/Fenilefrina/Loratadina) (FP),R05
AW60847,Baño Liquido Johnsons Hidratación Intensa  Cremoso Baby Pote x 200mL (FP),AW6
AW60836,Gel Para Peinar Ego For Men Pote x 500mL (FP),AW6
AW30340,Champu Cabellos Blancos Y Grises (Silver) Pote x 300ml NaturVital (FP),AW3
AW30342,Champu Henna Proteccion Color (Reflejos Negros) Pote x 300mL (FP),AW3
AW30343,Champu Henna Protección Color (Reflejos Rubios) Pote x 300mL (FP),AW3
AW30347,Lactovit Leche Corporal Reparadora Pote x 400mL (FS),AW3
AW30348,Panty Shower Jabón liquido Para Ropa Intima Pote x 300mL (FP),AW3
A020162,K-Delprazol 40mg Polvo Para Reconstituir Inyectable (Omeprazol) (FP),A02
C030045,Espironolactona 100 mg Blister x 10 Comprimidos Genfar (FP),C03
AW30356,Encrespador De Pestañas Metalico FreeStyle (FP),AW3
AW40229,Goicoechea Arnica Y Manzanilla (Efecto Calmante)  Pote x 400mL (FP),AW4
AW40230,Keracnyl PP Tubo x 30mL (FP),AW4
AW60857,Champu Herbal Essences Argan Oil of Morocco Pote x 400mL (FP),AW6
AW60833,Gel Para Peinar Ego For men Sobre x 27 ml (FP),AW6
AW60835,Gel Para Peinar Ego For Men Pote x 240mL (FP),AW6
BA40034,Micropore Blanco Nexcare  2 Pulgadas (48mm x 5m) 0122 (FS),BA4
BA40035,Micropore Color Piel Nexcare 2 Pulgadas (48mm x 5m) 0801 (FP),BA4
M010243,Zerodol 100mg Caja x 10 Tabletas Recubiertas (Aceclofenaco)(FP),M01
D060067,Aciclovir 5% Unguento Tópico Tubo x 15g Genfar  (Drog),D06
BE30134,Ferula Dinamica Para Flexion a medida O.T (Institucional Drog),BE3
M030060,Sirdalud 2 mg Tableta (Tizanidina )(Institucional Drog),M03
N010051,Anestecin 2.5/2.5g Crema Tópica Tubo x 5g (Lidocaina/Prilocaina) (Drog),N01
R010063,Marimer Baby Hipertonico Spray Frasco x 100mL (FP),R01
